Run,Age,Assay Type,AvgSpotLen,Bases,BioProject,BioSample,Bytes,Center Name,Consent,DATASTORE filetype,DATASTORE provider,DATASTORE region,Experiment,Genotype,GEO_Accession (exp),Instrument,LibraryLayout,LibrarySelection,LibrarySource,Organism,Platform,ReleaseDate,Sample Name,source_name,SRA Study
SRR8646334,45-day,RNA-Seq,75,4870643786,PRJNA524878,SAMN11037767,1830930108,GEO,public,"fastq,sra","gs,s3","gs.US,s3.us-east-1",SRX5444382,Control,GSM3635544,NextSeq 500,SINGLE,cDNA,TRANSCRIPTOMIC,Zea mays,ILLUMINA,2022-01-09T00:00:00Z,GSM3635544,Leaf tissue,SRP187091
SRR8646335,45-day,RNA-Seq,75,3859921794,PRJNA524878,SAMN11037804,1443264627,GEO,public,"sra,fastq","s3,gs","s3.us-east-1,gs.US",SRX5444383,Control,GSM3635545,NextSeq 500,SINGLE,cDNA,TRANSCRIPTOMIC,Zea mays,ILLUMINA,2022-01-09T00:00:00Z,GSM3635545,Leaf tissue,SRP187091
SRR8646336,45-day,RNA-Seq,75,4662905501,PRJNA524878,SAMN11037803,1749059334,GEO,public,"fastq,sra","gs,s3","s3.us-east-1,gs.US",SRX5444384,Control,GSM3635546,NextSeq 500,SINGLE,cDNA,TRANSCRIPTOMIC,Zea mays,ILLUMINA,2022-01-09T00:00:00Z,GSM3635546,Leaf tissue,SRP187091
SRR8646337,45-day,RNA-Seq,75,3832879529,PRJNA524878,SAMN11037802,1456134327,GEO,public,"sra,fastq","s3,gs","s3.us-east-1,gs.US",SRX5444385,Control,GSM3635547,NextSeq 500,SINGLE,cDNA,TRANSCRIPTOMIC,Zea mays,ILLUMINA,2022-01-09T00:00:00Z,GSM3635547,Leaf tissue,SRP187091
SRR8646338,45-day,RNA-Seq,75,3735556536,PRJNA524878,SAMN11037801,1388507107,GEO,public,"fastq,sra","s3,gs","s3.us-east-1,gs.US",SRX5444386,7B,GSM3635548,NextSeq 500,SINGLE,cDNA,TRANSCRIPTOMIC,Zea mays,ILLUMINA,2022-01-09T00:00:00Z,GSM3635548,Leaf tissue,SRP187091
SRR8646339,45-day,RNA-Seq,75,5000478273,PRJNA524878,SAMN11037800,1864704048,GEO,public,"sra,fastq","s3,gs","s3.us-east-1,gs.US",SRX5444387,7B,GSM3635549,NextSeq 500,SINGLE,cDNA,TRANSCRIPTOMIC,Zea mays,ILLUMINA,2022-01-09T00:00:00Z,GSM3635549,Leaf tissue,SRP187091
SRR8646340,45-day,RNA-Seq,75,4435650566,PRJNA524878,SAMN11037799,1655354651,GEO,public,"fastq,sra","gs,s3","gs.US,s3.us-east-1",SRX5444388,6B,GSM3635550,NextSeq 500,SINGLE,cDNA,TRANSCRIPTOMIC,Zea mays,ILLUMINA,2022-01-09T00:00:00Z,GSM3635550,Leaf tissue,SRP187091
SRR8646341,45-day,RNA-Seq,75,4810574926,PRJNA524878,SAMN11037798,1786023171,GEO,public,"sra,fastq","gs,s3","s3.us-east-1,gs.US",SRX5444389,4B,GSM3635551,NextSeq 500,SINGLE,cDNA,TRANSCRIPTOMIC,Zea mays,ILLUMINA,2022-01-09T00:00:00Z,GSM3635551,Leaf tissue,SRP187091
SRR8646342,45-day,RNA-Seq,75,4512703008,PRJNA524878,SAMN11037797,1689258419,GEO,public,"fastq,sra","s3,gs","gs.US,s3.us-east-1",SRX5444390,2B,GSM3635552,NextSeq 500,SINGLE,cDNA,TRANSCRIPTOMIC,Zea mays,ILLUMINA,2022-01-09T00:00:00Z,GSM3635552,Leaf tissue,SRP187091
SRR8646343,45-day,RNA-Seq,75,3867353395,PRJNA524878,SAMN11037796,1441204378,GEO,public,"sra,fastq","gs,s3","s3.us-east-1,gs.US",SRX5444391,3B,GSM3635553,NextSeq 500,SINGLE,cDNA,TRANSCRIPTOMIC,Zea mays,ILLUMINA,2022-01-09T00:00:00Z,GSM3635553,Leaf tissue,SRP187091
SRR8646344,45-day,RNA-Seq,75,4268485278,PRJNA524878,SAMN11037795,1597979174,GEO,public,"fastq,sra","s3,gs","s3.us-east-1,gs.US",SRX5444392,5B,GSM3635554,NextSeq 500,SINGLE,cDNA,TRANSCRIPTOMIC,Zea mays,ILLUMINA,2022-01-09T00:00:00Z,GSM3635554,Leaf tissue,SRP187091
SRR8646345,45-day,RNA-Seq,75,4323426899,PRJNA524878,SAMN11037794,1623962670,GEO,public,"sra,fastq","s3,gs","s3.us-east-1,gs.US",SRX5444393,2B,GSM3635555,NextSeq 500,SINGLE,cDNA,TRANSCRIPTOMIC,Zea mays,ILLUMINA,2022-01-09T00:00:00Z,GSM3635555,Leaf tissue,SRP187091
SRR8646346,45-day,RNA-Seq,75,4345329103,PRJNA524878,SAMN11037793,1623257155,GEO,public,"sra,fastq","gs,s3","gs.US,s3.us-east-1",SRX5444394,3B,GSM3635556,NextSeq 500,SINGLE,cDNA,TRANSCRIPTOMIC,Zea mays,ILLUMINA,2022-01-09T00:00:00Z,GSM3635556,Leaf tissue,SRP187091
SRR8646347,45-day,RNA-Seq,75,4054200592,PRJNA524878,SAMN11037792,1516158908,GEO,public,"fastq,sra","s3,gs","gs.US,s3.us-east-1",SRX5444395,1B,GSM3635557,NextSeq 500,SINGLE,cDNA,TRANSCRIPTOMIC,Zea mays,ILLUMINA,2022-01-09T00:00:00Z,GSM3635557,Leaf tissue,SRP187091
SRR8646348,45-day,RNA-Seq,75,4916977323,PRJNA524878,SAMN11037791,1834962549,GEO,public,"fastq,sra","s3,gs","gs.US,s3.us-east-1",SRX5444396,3B,GSM3635558,NextSeq 500,SINGLE,cDNA,TRANSCRIPTOMIC,Zea mays,ILLUMINA,2022-01-09T00:00:00Z,GSM3635558,Leaf tissue,SRP187091
SRR8646349,45-day,RNA-Seq,75,3910810618,PRJNA524878,SAMN11037790,1458391916,GEO,public,"sra,fastq","gs,s3","gs.US,s3.us-east-1",SRX5444397,4B,GSM3635559,NextSeq 500,SINGLE,cDNA,TRANSCRIPTOMIC,Zea mays,ILLUMINA,2022-01-09T00:00:00Z,GSM3635559,Leaf tissue,SRP187091
SRR8646350,45-day,RNA-Seq,75,5210426294,PRJNA524878,SAMN11037788,1949895070,GEO,public,"sra,fastq","gs,s3","s3.us-east-1,gs.US",SRX5444398,4B,GSM3635560,NextSeq 500,SINGLE,cDNA,TRANSCRIPTOMIC,Zea mays,ILLUMINA,2022-01-09T00:00:00Z,GSM3635560,Leaf tissue,SRP187091
