Gene	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	threshold
DHH00002Zm00004b08114	797.5768245303165	7.62195837121819	0.31197318870403357	24.431453237634084	7.924407293485256e-132	7.55671479506754e-128	TRUE
DHH02246Zm00004b00001	4297.760414536132	-2.0379813150204558	0.11156837374930652	-18.266657893569263	1.5250969274966377e-74	7.27166215030397e-71	TRUE
RLX31242Zm00004b00001	1038.821455639345	-1.9161733343542187	0.10827062153757881	-17.69799883977898	4.344734076616916e-70	1.381046138487297e-66	TRUE
DHH00002Zm00004b03347	505.49466705172097	-2.866358902520905	0.1663994784644016	-17.225768547911134	1.7015254133805324e-66	4.056436585499189e-63	TRUE
DHH00001Zm00004b01008	641.6974640079058	-1.6502704049523294	0.09770388597663202	-16.89052987459503	5.282644195359341e-64	1.0075059009389336e-60	TRUE
DHH01843Zm00004b00001	445.6416291224315	-1.9350889655905257	0.11474707124561585	-16.86395081446978	8.286038010513198e-64	1.3169276411375642e-60	TRUE
DHH00002Zm00004b06368	262.19345220676996	-3.327361102869069	0.1993572945530819	-16.69044070009241	1.5383105932240233e-62	2.0956185452834692e-59	TRUE
RLC16809zmB00001	991.0270197209692	-4.684404035381957	0.284431315208631	-16.469368121249012	6.090319802702477e-61	7.259661204821353e-58	TRUE
RLX07330Zm00004b00001	505.2906600548753	3.4234620824210293	0.2115479214459244	16.182915242190788	6.656657843238941e-59	7.0530987992362825e-56	TRUE
DHH02779Zm00004b00002	113.6114344007776	3.3858561273737102	0.2095674837184636	16.156400159493852	1.0236756683600108e-58	9.761771173481063e-56	TRUE
DHH00023Zm00004b00041	401.961882304288	-2.4674063799510586	0.15826783686898865	-15.590068258742516	8.504263739799592e-55	7.37242354752081e-52	TRUE
RLX35816Zm00004b00001	153.7085353964893	2.631619860082802	0.1797410942234155	14.641169686058202	1.5340618909834344e-48	1.2190678493681691e-45	TRUE
DHH02868Zm00004b00001	1179.1073395267526	-1.1959329183370981	0.08238722681653134	-14.515999197306751	9.5949277103772e-48	7.038248511242845e-45	TRUE
DHH00002Zm00004b06246	671.2695776057604	-1.6526060517170873	0.11585561892766244	-14.264358233232832	3.6493362970127e-46	2.4857193520223645e-43	TRUE
RLG00018Zm00004b00501	1483.5559125618315	4.982756139517517	0.35034450498750996	14.222446958873112	6.6486821154934675e-46	4.226788843556381e-43	TRUE
DHH00012Zm00004b00418	131.71771694941674	3.342177325525561	0.2354616888789079	14.19414487952798	9.959388297246252e-46	5.935795425158766e-43	TRUE
DHH02302Zm00004b00001	174.86447612681593	-2.678491128760864	0.1925054659833085	-13.913844550227507	5.219663536567669e-44	2.9279242049829e-41	TRUE
RLX14828Zm00004b00001	292.1783574295209	-1.9420953295914976	0.14162952301083892	-13.712503497190122	8.54575085759178e-43	4.527348898777512e-40	TRUE
DHH00002Zm00004b01685	377.38175009039986	-2.0384769443007174	0.15047873433756434	-13.54661144163975	8.297285230067301e-42	4.164363787048515e-39	TRUE
DHH03771Zm00004b00001	48.96055547237961	2.921564727516258	0.22625121780616056	12.912923766091248	3.8057137951143e-38	1.8145643375104984e-35	TRUE
DHH00002Zm00004b08597	129.25942508993833	-5.791284600998035	0.4533200017727018	-12.77526819542772	2.2536952265926094e-37	1.0233922705136726e-34	TRUE
DHH00626Zm00004b00001	141.65939058288527	-2.6284933340602334	0.2061366070367537	-12.75122052237708	3.0690227913629613e-37	1.3302818790198727e-34	TRUE
RLX14842Zm00004b00001	198.51178836399424	2.0311722487973993	0.16071563937062602	12.63829865439117	1.2983291533026102e-36	5.382985567779866e-34	TRUE
DHH00002Zm00004b07920	124.69204092478617	-2.4338101807526877	0.19344198302137325	-12.58160272521492	2.665661713255438e-36	1.0591562540668274e-33	TRUE
DHH00002Zm00004b07529	253.7047230505368	-2.6153101996188863	0.20950898807343823	-12.483045351267476	9.238434684705677e-36	3.5239085261341335e-33	TRUE
RLX11946Zm00004b00001	56.394681545535605	2.6163854215699613	0.21206565486176912	12.337619796451252	5.681058940715206e-35	2.0836376176407774e-32	TRUE
DHH02922Zm00004b00001	897.2108767200543	-1.866069809273274	0.15372406082099263	-12.139087396645474	6.555307466808441e-34	2.3152374816105664e-31	TRUE
DHH00002Zm00004b08791	649.6046492946709	-1.3625013208805674	0.1126741662054686	-12.092402071970591	1.1584928471282554e-33	3.9454956393625155e-31	TRUE
RLX34682Zm00004b00001	801.4769069988118	2.184641634699801	0.18103549093600424	12.067477064329163	1.5687018959154973e-33	5.158324579120753e-31	TRUE
DHH00002Zm00004b02150	291.31371369445503	1.5162817771979094	0.127635294908222	11.879800005854285	1.5072754896610663e-32	4.791126356469309e-30	TRUE
DHH00002Zm00004b01538	431.13072576683163	-1.2804440345409038	0.10787540343869743	-11.869656972069118	1.701639069374834e-32	5.234461343728522e-30	TRUE
RLG20064Zm00004b00001	109.62439469781613	2.8808628514951287	0.24521026111516459	11.74854118418035	7.184848477821824e-32	2.1410848463909035e-29	TRUE
RLX00518Zm00004b00002	97.25844901144455	2.543185113974717	0.22040541318338047	11.538669024697459	8.421823805400922e-31	2.4336518729788847e-28	TRUE
RLG00174Zm00004b00015	130.96449423216788	2.272420595276263	0.19773779667995814	11.492090199397806	1.4457095976863585e-30	4.054790212805035e-28	TRUE
DHH02098Zm00004b00001	1841.2305734136664	-2.0373234433830856	0.17769813959966574	-11.465080320891092	1.9757619068910355e-30	5.383104441175119e-28	TRUE
RLG00009Zm00004b01143	65.76921902705655	3.5404014821018364	0.31339401427158764	11.296965866851943	1.3583020958180873e-29	3.597991329367023e-27	TRUE
RLC00004Zm00004b06647	49.24978392648222	4.149726913458278	0.3690481622466272	11.24440476331407	2.467555434786887e-29	6.359623953007501e-27	TRUE
RLG00005Zm00004b01961	59.897384086535524	2.5255971856174977	0.2249793320974537	11.2259075625822	3.042465348091837e-29	7.634986726158884e-27	TRUE
DHH00002Zm00004b08256	628.5606878404066	-1.6979466573670938	0.15147783912977578	-11.209208337811118	3.6746525157324647e-29	8.928955413510061e-27	TRUE
RLG03969Zm00004b00001	286.77828244882727	-3.7936910920244213	0.3384951149028171	-11.207520950822587	3.745367203653549e-29	8.928955413510061e-27	TRUE
DHH00002Zm00004b04913	1563.0594039697519	-1.1384087528175184	0.102147893086593	-11.144711050011226	7.599054578223273e-29	1.7674288892179788e-26	TRUE
RLC00002Zm00004b02021	85.59747100715012	-3.919189558379427	0.35224333535847213	-11.126369656904746	9.336082344255375e-29	2.1197352674956964e-26	TRUE
RLX15466Zm00004b00001	208.2385518454122	-1.6206151829133981	0.1463550010256958	-11.073179403202381	1.6928587319812323e-28	3.754209504226286e-26	TRUE
RLX12189Zm00004b00001	206.28649333270266	2.4721663199703388	0.22468527029997631	11.002796563698904	3.7046152790907385e-28	8.0289116594112e-26	TRUE
DHH03465Zm00004b00001	206.9293574315604	-2.321001631659051	0.21176348239546663	-10.960348807093183	5.927048157403386e-28	1.2560073606444153e-25	TRUE
DHH00002Zm00004b09550	171.71750125425328	-1.5641991375300373	0.14276961361826862	-10.956106820547452	6.211434538034691e-28	1.2876573859717134e-25	TRUE
RIL00003Zm00004b00003	90.12748695180767	-4.258381941953848	0.38985574364798353	-10.922968332099046	8.952136551196009e-28	1.8163313649405348e-25	TRUE
DHH00002Zm00004b02087	107.19489207619061	-3.246705306550247	0.2988071909546483	-10.865552787325718	1.6820142242690097e-27	3.341601592214432e-25	TRUE
RLX34185Zm00004b00001	235.58540730238533	2.080081561058338	0.19362058871708365	10.743080448421376	6.3876802486206385e-27	1.2431207928744165e-24	TRUE
RLX22135Zm00004b00001	188.7383020931959	2.437164748394031	0.22708604746577454	10.732340342316055	7.17554634106936e-27	1.3685201981687483e-24	TRUE
DHH00002Zm00004b01084	315.5069839610016	1.718828321647915	0.16090960386375944	10.681949867350552	1.2364686552140378e-26	2.3119539404158948e-24	TRUE
DHH00002zmB00125	244.6968435137954	-2.266393665914556	0.21342963838556472	-10.61892660765452	2.4334310819721232e-26	4.462538230324263e-24	TRUE
RLX15644Zm00004b00001	88.37765169222175	2.8515101268276704	0.2694843082113832	10.581358691174511	3.636461725064812e-26	6.542886605701518e-24	TRUE
DHH00002zmB00360	249.94409411497676	-2.2177907959016885	0.210291634892151	-10.546262560748517	5.285806947530077e-26	9.334343528082742e-24	TRUE
RLX28193Zm00004b00001	774.3456311321993	-1.595637888521688	0.1521762238966751	-10.485461182195566	1.0075290550573223e-25	1.7468721943684772e-23	TRUE
DHH00032Zm00004b00055	81.57881993916459	-2.5899706450044833	0.2476816733541133	-10.456852176146164	1.363090716066182e-25	2.2804268541065108e-23	TRUE
RLX15331Zm00004b00002	43.8261112842398	4.126983639760902	0.39465279192723973	10.457251853223363	1.357354671289406e-25	2.2804268541065108e-23	TRUE
DHH02645Zm00004b00001	66.59746002130828	3.7568806562225108	0.36115266270217455	10.402472539211574	2.4158185564189504e-25	3.9719389231053644e-23	TRUE
DHH02543Zm00004b00002	115.72597778880396	2.199138413912523	0.21196047915928934	10.375228545600049	3.214423080212079e-25	5.1953794055766753e-23	TRUE
DHH00002zmB00356	178.9892437476341	-3.7632398095049053	0.3641497220607472	-10.33432014779109	4.928946799219886e-25	7.833739446226806e-23	TRUE
DHH00001Zm00004b01169	1122.5356171804403	-1.0160845303167836	0.09866416384598602	-10.29841525746758	7.1631601249972455e-25	1.1198015565897333e-22	TRUE
RLX31265Zm00004b00001	70.5865744669054	-3.580175691538457	0.3478516646930207	-10.2922482624827	7.6371974221966255e-25	1.1746502357752746e-22	TRUE
