"","ccp_res"
"DHH00001Zm00004b00012",1
"DHH00001Zm00004b00034",1
"DHH00001Zm00004b00043",2
"DHH00001Zm00004b00058",1
"DHH00001Zm00004b00071",3
"DHH00001Zm00004b00081",1
"DHH00001Zm00004b00089",1
"DHH00001Zm00004b00121",1
"DHH00001Zm00004b00131",1
"DHH00001Zm00004b00133",1
"DHH00001Zm00004b00135",1
"DHH00001Zm00004b00166",4
"DHH00001Zm00004b00209",1
"DHH00001Zm00004b00212",4
"DHH00001Zm00004b00277",1
"DHH00001Zm00004b00280",1
"DHH00001Zm00004b00284",4
"DHH00001Zm00004b00287",1
"DHH00001Zm00004b00311",4
"DHH00001Zm00004b00325",1
"DHH00001Zm00004b00329",1
"DHH00001Zm00004b00353",2
"DHH00001Zm00004b00386",1
"DHH00001Zm00004b00395",1
"DHH00001Zm00004b00407",4
"DHH00001Zm00004b00441",2
"DHH00001Zm00004b00447",4
"DHH00001Zm00004b00451",4
"DHH00001Zm00004b00469",5
"DHH00001Zm00004b00497",2
"DHH00001Zm00004b00564",4
"DHH00001Zm00004b00579",2
"DHH00001Zm00004b00591",4
"DHH00001Zm00004b00600",1
"DHH00001Zm00004b00611",2
"DHH00001Zm00004b00744",1
"DHH00001Zm00004b00753",1
"DHH00001Zm00004b00758",1
"DHH00001Zm00004b00761",1
"DHH00001Zm00004b00803",6
"DHH00001Zm00004b00818",1
"DHH00001Zm00004b00820",2
"DHH00001Zm00004b00863",1
"DHH00001Zm00004b00942",1
"DHH00001Zm00004b00960",5
"DHH00001Zm00004b00968",4
"DHH00001Zm00004b00980",1
"DHH00001Zm00004b00995",2
"DHH00001Zm00004b01008",5
"DHH00001Zm00004b01009",1
"DHH00001Zm00004b01011",1
"DHH00001Zm00004b01027",1
"DHH00001Zm00004b01028",2
"DHH00001Zm00004b01038",2
"DHH00001Zm00004b01047",1
"DHH00001Zm00004b01068",5
"DHH00001Zm00004b01069",1
"DHH00001Zm00004b01086",2
"DHH00001Zm00004b01091",1
"DHH00001Zm00004b01106",6
"DHH00001Zm00004b01112",7
"DHH00001Zm00004b01119",1
